borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,dcpedited,notes,bct2020,bctcb2020,geom,basempdate,dcasdate,edesigdate,landmkdate,masdate,polidate,rpaddate,zoningdate
BX,2869,47,205,243,3000,10,14,10453,E075,46,1520,2,1B,89 WEST TREMONT AVENUE,R7-1,,,,,,,,,,false,D1,3,0,X,JERICHO-WEST TREMONT HOUSING DEVELOPMENT  FUND CORP,19146,36708,0,36708,0,0,0,0,0,0,2,1,7,80,80,125,153.17,0,0,N,0,false,5,0,88650,915750,915750,2003,0,0,,,1.92,3.44,0,4.8,2,2028690047,,243,1008390,249184,40.8505945,-73.9127431,3a,,215 040,21103,,,,1,25v3,5,25,,,,,2024300,20243003000,,,,,,,,,
MN,675,39,104,99,1017,2,3,10001,E034,10,5500,1,2B,606 WEST 30TH ST,C6-4X,,,,,,HRP,,,,false,D7,4,0,,WEST 30TH STREET LLC,17281,313013,13918,299095,0,13918,0,0,0,0,2,1,45,277,278,175,98.75,77,121,,0,false,5,5,1680750,49067100,0,2020,2020,0,,,18.11,10,10,10,1,1006750039,,99,982943,213754,40.7533817,-74.0047174,8b,,105S013,10301,E-455,1006750038,09/13/2019,1,25v3,4,15,1,1,,,1009902,10099021001,,,,,,,,,
MN,698,54,104,99,1030,2,3,10001,E003,10,5500,1,2B,530 WEST 27 STREET,M1-5,,,,,,WCh,,,,false,J5,5,0,,27TH STREET PROPERTY OWNER LLC,3839,22524,22524,0,0,0,0,0,0,22524,2,1,6,0,6,38.83,98.75,38.84,80,N,3,false,5,2,316800,4349700,0,1920,2004,2003,,,5.87,0,5,6.5,1,1006980054,,99,983179,212744,40.7506096,-74.0038654,8b,,105S004,10301,,,,1,25v3,4,15,,1,,,1009902,10099021004,,,,,,,,,
MN,698,56,104,99,1030,2,3,10001,E003,10,5500,1,2B,534 WEST 27 STREET,M1-5,,,,,,WCh,,,,false,J5,5,0,,27TH STREET PROPERTY OWNER LLC,1918,11583,11583,0,0,0,0,0,0,11583,2,1,6,0,5,19.42,98.75,19.42,98.75,N,3,true,5,0,172800,2505150,0,1920,2004,0,,,6.04,0,5,6.5,1,1006980056,,99,983153,212758,40.750648,-74.0039593,8b,,105S004,10301,,,,1,25v3,4,15,,1,,,1009902,10099021004,,,,,,,,,
MN,698,28,104,99,1030,2,3,10001,E003,10,5500,1,2B,511 WEST 26 STREET,M1-5,,,,,,WCh,,,,false,G6,10,1,P,26-10 CORP.,12225,0,,,,,,,,,7,0,,0,0,67.75,98.75,0,0,N,0,true,5,0,1191150,1191150,0,0,0,0,,,0,0,5,6.5,1,1006980028,,99,983381,212569,40.7501293,-74.0031364,8b,,105S004,10301,,,,1,25v3,4,15,,,,,1009902,10099021004,,,,,,,,,
MN,698,37,104,99,1030,2,3,10001,E003,10,5500,1,2B,289 10 AVENUE,C6-3,,,,,,WCh,,,,false,K2,5,0,,289 TENTH AVENUE GARAGE CORP.,4937,8700,8700,0,0,8700,0,0,0,0,2,1,2,0,1,49.33,100,49.33,100,N,3,false,5,0,189450,2703150,0,1946,2005,0,,,1.76,7.52,6,10,1,1006980037,,99,983467,212554,40.7500881,-74.002826,8b,,105S004,10301,E-142,,,1,25v3,4,15,,,,,1009902,10099021004,,,,,,,,,
MN,698,35,104,99,1030,2,3,10001,E003,10,5500,1,2B,285 10 AVENUE,C6-3,,,,,,WCh,,,,false,K4,4,0,,"287 10TH AVENUE, LLC",3160,4344,4344,0,2172,2172,0,0,0,0,2,1,2,0,4,39.5,80,39.5,55,N,3,false,5,2,213750,1097100,0,1930,1987,0,,,1.37,7.52,6,10,1,1006980035,,99,983455,212510,40.7499673,-74.0028693,8b,,105S004,10301,E-142,,,1,25v3,4,15,,,,,1009902,10099021004,,,,,,,,,
MN,698,47,104,99,1030,2,3,10001,E003,10,5500,1,2B,518 WEST 27 STREET,M1-5,,,,,,WCh,,,,false,H1,5,0,,W27 HIGHLINE OWNER  LLC,4937,35987,,,,,,,,,2,1,9,0,1,50,98.75,50,98,N,1,false,5,0,1800000,6775200,0,2011,0,0,,,7.29,0,5,6.5,1,1006980047,,99,983303,212675,40.7504202,-74.0034179,8b,,105S004,10301,,,,1,25v3,4,15,,,,,1009902,10099021004,,,,,,,,,
MN,1306,42,106,100,2004,2,4,10022,E008,17,4800,1,3A,154 EAST 52 STREET,C6-4.5,,,,,,MiD,,,,false,O4,5,0,,"PLAZA 52, LLC",15062,304640,304640,0,294000,10640,0,0,0,0,2,1,35,0,16,150,100.42,146,100,N,1,false,5,2,8865000,37647000,0,1984,2013,0,,,20.23,10,12,12,1,1013060042,,100,992350,215151,40.7572125,-73.9707626,8d,,104 050,10504,,,,1,25v3,6,13,,,,,1010000,10100002004,,,,,,,,,
MN,1304,26,106,100,2006,2,4,10017,L002,17,4800,1,3A,145 EAST 49 STREET,C6-4.5,,,,,,MiD,,,,false,HS,5,0,,145 EAST 49TH STREET,5682,37371,,,,,,,,,2,1,9,0,3,56.58,100.42,56.58,84,N,3,false,5,2,2385000,4904550,0,1916,1997,0,,,6.58,10,12,12,1,1013040026,,100,992002,214629,40.7557801,-73.9720194,8d,,104 050,10504,,,,1,25v3,6,13,,,,,1010000,10100002006,,,,,,,,,
